Step,Value
713548,39.0
714398,39.0
715498,39.0
717398,39.0
717948,39.0
718948,39.0
719298,39.0
719548,39.0
723448,39.0
724948,39.0
725098,39.0
725848,39.0
726148,39.0
726398,39.0
727848,39.0
728548,39.0
729098,39.0
729598,39.0
729798,39.0
729848,39.0
731248,39.0
731698,39.0
732848,38.0
732898,38.0
733498,38.0
735048,38.0
735498,38.0
736348,38.0
736598,38.0
737048,38.0
737448,38.0
737848,38.0
738698,38.0
740198,38.0
740698,38.0
742548,38.0
742998,38.0
743048,38.0
744148,38.0
744498,38.0
745898,38.0
746398,38.0
746648,38.0
747198,38.0
747648,38.0
748348,38.0
750248,38.0
750398,38.0
752098,38.0
752298,38.0
753448,38.0
753748,38.0
753848,38.0
755548,38.0
755848,38.0
756148,38.0
756248,38.0
756798,38.0
757048,38.0
757748,38.0
758198,38.0
758998,38.0
760248,38.0
761198,38.0
761648,37.0
762548,37.0
763898,37.0
765048,37.0
765148,37.0
765198,37.0
768148,37.0
768298,37.0
768748,37.0
770648,37.0
772198,37.0
773198,37.0
774148,37.0
775698,37.0
776098,37.0
777898,37.0
778748,37.0
779748,37.0
781148,37.0
781298,37.0
781648,37.0
781748,37.0
782598,37.0
782998,37.0
783448,37.0
784198,37.0
784998,37.0
786948,37.0
787548,37.0
787648,37.0
788148,37.0
788698,37.0
789398,37.0
789498,37.0
790348,37.0
791298,36.0
793098,36.0
794448,36.0
794748,36.0
795198,36.0
796698,36.0
797848,36.0
797898,36.0
798798,36.0
800198,36.0
800448,36.0
801798,36.0
802448,36.0
802548,36.0
802598,36.0
803598,36.0
803848,36.0
804548,36.0
805048,36.0
805298,36.0
805648,36.0
806598,36.0
807198,36.0
808948,36.0
812048,36.0
812798,36.0
813348,36.0
813548,36.0
814348,36.0
815998,36.0
816448,36.0
818648,36.0
819648,36.0
819798,36.0
820097,36.0
820597,36.0
820747,36.0
821047,36.0
821647,36.0
821847,36.0
821947,36.0
822047,36.0
822097,36.0
822197,36.0
822497,36.0
822547,36.0
822597,36.0
822647,36.0
823097,36.0
823397,36.0
823447,36.0
823497,36.0
823547,36.0
823797,36.0
824197,36.0
824547,36.0
824947,36.0
825097,36.0
825147,36.0
825497,36.0
825747,36.0
826147,36.0
826297,36.0
826347,36.0
826797,36.0
826897,36.0
826947,36.0
827347,36.0
827597,36.0
827697,36.0
827747,36.0
827947,36.0
