Step,Value
845581,2879.0
845847,2880.0
845897,2881.0
846147,2881.0
846347,2882.0
846447,2882.0
846947,2884.0
847247,2885.0
847297,2885.0
847347,2886.0
847397,2886.0
847447,2886.0
847497,2886.0
847597,2886.0
847697,2887.0
847897,2887.0
848097,2888.0
848218,2888.0
848397,2889.0
848511,2889.0
848647,2890.0
848804,2890.0
848847,2891.0
849047,2891.0
849247,2892.0
849297,2892.0
849597,2893.0
849697,2894.0
849897,2894.0
849997,2895.0
850347,2896.0
850547,2896.0
850647,2897.0
850697,2897.0
850747,2897.0
851047,2898.0
851297,2899.0
851397,2899.0
851441,2899.0
851597,2900.0
851747,2901.0
851897,2901.0
851947,2901.0
851997,2901.0
852147,2902.0
852547,2903.0
852697,2904.0
852747,2904.0
852797,2904.0
852897,2904.0
852906,2904.0
853197,2905.0
853347,2906.0
853397,2906.0
853492,2906.0
853547,2907.0
853697,2907.0
853747,2907.0
853785,2907.0
853797,2908.0
853947,2908.0
854097,2909.0
854347,2909.0
854371,2909.0
854397,2910.0
854664,2910.0
854947,2911.0
855097,2912.0
855247,2912.0
855397,2913.0
855547,2914.0
855647,2914.0
855847,2915.0
856897,2918.0
856997,2918.0
857008,2918.0
857197,2919.0
857297,2919.0
857447,2920.0
857547,2920.0
857887,2921.0
858147,2922.0
858297,2923.0
858597,2924.0
858647,2924.0
858697,2924.0
858747,2924.0
858947,2925.0
859047,2925.0
859147,2926.0
859197,2926.0
859297,2926.0
859645,2927.0
859647,2928.0
859797,2928.0
860097,2929.0
860231,2929.0
860597,2931.0
860697,2931.0
860797,2931.0
860897,2932.0
860947,2932.0
861110,2932.0
861347,2933.0
861397,2933.0
861547,2934.0
861597,2934.0
861647,2934.0
861696,2934.0
861847,2935.0
861897,2935.0
861997,2936.0
862047,2936.0
862397,2937.0
862575,2937.0
862647,2938.0
862747,2938.0
862797,2938.0
863147,2939.0
863161,2939.0
863297,2940.0
863647,2941.0
863747,2941.0
863897,2942.0
863947,2942.0
